Date,IBX
2011-12-01,19813.26
2011-12-02,19760.35
2011-12-05,20051.85
2011-12-06,20231.07
2011-12-07,19986.49
2011-12-08,19685.75
2011-12-09,19906.11
2011-12-12,19673.09
2011-12-13,19731.27
2011-12-14,19466.65
2011-12-15,19360.73
2011-12-16,19325.46
2011-12-19,19178.4
2011-12-20,19697.49
2011-12-21,19646.92
2011-12-22,19853.16
2011-12-23,19977.3
2011-12-26,19934.63
2011-12-27,20044.15
2011-12-28,19603.66
2011-12-29,19706.12
2012-01-02,19889.39
2012-01-03,20324.96
2012-01-04,20350.52
2012-01-05,20128.43
2012-01-06,20127.44
2012-01-09,20244.62
2012-01-10,20372.92
2012-01-11,20405.22
2012-01-12,20407.98
2012-01-13,20274.41
2012-01-16,20520.64
2012-01-17,20717.46
2012-01-18,21059.7
2012-01-19,21083.98
2012-01-20,21140.7
2012-01-23,21178.49
2012-01-24,21236.8
2012-01-26,21287.13
2012-01-27,21232.95
2012-01-30,21199.59
2012-01-31,21267.93
2012-02-01,21630.16
2012-02-02,21588.81
2012-02-03,21735.92
2012-02-06,21766.19
2012-02-07,21984.46
2012-02-08,21967.12
2012-02-09,21908.61
2012-02-10,21409.59
2012-02-13,21861.92
2012-02-14,21589.57
2012-02-15,21586.77
2012-02-16,21848.55
2012-02-17,21906.91
2012-02-22,21908.31
2012-02-23,21832.52
2012-02-24,21956.88
2012-02-27,21806.7
2012-02-28,22035.68
2012-02-29,22086.48
2012-03-01,22415.93
2012-03-02,22671.54
2012-03-05,22389.88
2012-03-06,21816.76
2012-03-07,22085.21
2012-03-08,22350.83
2012-03-09,22424.1
2012-03-12,22302.89
2012-03-13,22857.99
2012-03-14,22872.31
2012-03-15,22714.77
2012-03-16,22743.91
2012-03-19,22787.33
2012-03-20,22618.29
2012-03-21,22544.74
2012-03-22,22242.29
2012-03-23,22247.0
2012-03-26,22624.14
2012-03-27,22518.47
2012-03-28,22134.26
2012-03-29,22092.58
2012-03-30,22035.94
2012-04-02,22319.22
2012-04-03,22019.62
2012-04-04,21644.79
2012-04-05,21645.8
2012-04-09,21415.35
2012-04-10,21156.55
2012-04-11,21136.21
2012-04-12,21700.21
2012-04-13,21392.14
2012-04-16,21310.44
2012-04-17,21486.98
2012-04-18,21645.42
2012-04-19,21588.05
2012-04-20,21630.29
2012-04-23,21400.75
2012-04-24,21468.23
2012-04-25,21299.09
2012-04-26,21442.49
2012-04-27,21410.32
2012-04-30,21489.49
2012-05-02,21618.22
2012-05-03,21443.14
2012-05-04,21036.61
2012-05-07,21167.58
2012-05-08,20894.22
2012-05-09,20738.12
2012-05-10,20769.28
2012-05-11,20650.69
2012-05-14,20164.65
2012-05-15,19874.01
2012-05-16,19781.55
2012-05-17,19203.64
2012-05-18,19364.59
2012-05-21,20055.92
2012-05-22,19767.6
2012-05-23,19528.14
2012-05-24,19290.57
2012-05-25,19340.21
2012-05-28,19560.27
2012-05-29,19500.28
2012-05-30,19304.38
2012-05-31,19640.07
2012-06-01,19309.34
2012-06-04,19295.78
2012-06-05,19050.01
2012-06-06,19615.23
2012-06-08,19604.24
2012-06-11,19482.33
2012-06-12,19846.16
2012-06-13,19947.46
2012-06-14,19837.61
2012-06-15,20029.3
2012-06-18,20154.79
2012-06-19,20546.9
2012-06-20,20512.16
2012-06-21,19959.85
2012-06-22,19915.0
2012-06-25,19388.32
2012-06-26,19472.78
2012-06-27,19399.51
2012-06-28,19327.34
2012-06-29,19813.53
2012-07-02,19871.09
2012-07-03,20244.13
2012-07-04,20319.82
2012-07-05,20459.42
2012-07-06,20188.05
2012-07-10,19639.45
2012-07-11,19600.9
2012-07-12,19553.09
2012-07-13,19865.53
2012-07-16,19680.99
2012-07-17,19756.61
2012-07-18,19941.74
2012-07-19,20141.93
2012-07-20,19845.5
2012-07-23,19504.05
